Indicador,Gasto de consumo: total,Gasto de consumo: hogares,Gasto de consumo: gobierno y ISFLH,Formación bruta de capital,Formación bruta de capital: fijo,Exportaciones de bienes y servicios,Importaciones de bienes y servicios,Producto bruto interno
Área,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica
Frecuencia,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC
Moneda,UYU,UYU,UYU,UYU,UYU,UYU,UYU,UYU
Inf. adj.,Const. 2016,Const. 2016,Const. 2016,Const. 2016,Const. 2016,Const. 2016,Const. 2016,Const. 2016
Unidad,Millones,Millones,Millones,Millones,Millones,Millones,Millones,Millones
Seas. Adj.,NSA,NSA,NSA,NSA,NSA,NSA,NSA,NSA
Tipo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo
Acum. períodos,1,1,1,1,1,1,1,1
1988-03-31,144591.58695555056,111858.72495060315,34834.42933242453,18993.529090332846,22809.260876595545,29166.057364817276,17177.811919928303,185893.41245219772
1988-06-30,149924.88319571433,116643.64215995096,35019.2273660183,14941.576217728507,26528.924958009586,30956.230857464227,18408.26781617199,188158.43227319926
1988-09-30,145776.76389780917,112851.82097518476,34988.42769375267,33783.15707533869,24049.148903733556,31947.711561084077,24026.27039507408,188805.58079348542
1988-12-31,154902.62635320047,120977.15208539806,35542.821794533964,40114.33343878297,27862.389440025938,33517.55600848218,22293.918014836257,211455.77900350076
1989-03-31,144354.55156709882,111136.47329636195,35542.821794533964,17955.216166727983,23253.749037267662,32360.828520925683,18019.702796305563,187511.2837529131
1989-06-30,153243.3786340384,119532.64877691571,35234.82507187769,22007.169039332326,25756.919205263275,31451.971209274154,21662.49985755332,191394.17487463
1989-09-30,144236.03387287297,110955.91038280167,35850.81851719024,37227.31701705238,22317.984488484257,34123.46088291653,25386.247964606584,190261.66496412922
1989-12-31,158695.19256842803,124137.00307270324,35943.21753398712,28262.371286415277,25172.066362273647,37125.444124432186,20885.369817820465,213720.79882450227
1990-03-31,137954.59607890234,105087.61569209206,36004.81687851837,14941.576217728507,21545.978735737943,42330.7178184364,19978.7181047988,187996.64514312768
1990-06-30,141510.12690567816,108157.18522261707,36220.41458437776,21652.623162979446,22434.95505708218,33021.815656672254,20027.288732282104,183951.96689133922
1990-09-30,144947.1400382281,111317.03620992225,36220.41458437776,25147.43251560069,21007.914120187485,38006.76030542761,22018.684459097545,193820.98182570306
1990-12-31,159643.33412223487,124407.8474430437,36959.60671875282,34618.87235531333,24306.484154648995,40182.509627260064,23362.47181946894,219383.34837700613
1991-03-31,135228.68911170747,102108.32761834718,36590.01065156529,22868.209024760745,20376.273049758685,43239.575130087935,20545.37542543734,192041.32339491614
1991-06-30,147554.52931119702,113483.7911726458,36620.81032383092,29731.204202734345,34202.19425803352,38667.74744117418,25710.052147828606,193335.62043548844
1991-09-30,154784.10865897455,119803.49314725613,37175.20442461221,29199.385388205024,25897.28388758079,40210.050757916164,27134.790554005504,200130.67989849305
1991-12-31,172206.20971017616,136144.4368244629,36651.609996096544,45989.665104059255,27815.601212586775,35583.140807690186,27442.404528066425,227472.70488058304
1992-03-31,155021.1440474263,119893.7746040363,37329.202785940346,28616.91716276815,26294.983820813737,46572.05193947687,27814.779338771754,207734.67501185535
1992-06-30,166517.3603873348,131088.6752447746,36251.21425664339,23855.87253745805,29921.071447349437,42137.92990384365,27393.83390058312,210808.6304832146
1992-09-30,178724.6828925985,141380.76131771147,38006.79557578415,39683.81344606875,31441.688839122475,43597.60982861733,37172.720233888205,218412.6255965769
1992-12-31,184769.0852981174,147158.77455164093,37698.798853127875,53966.947321999054,39793.387437014375,39796.93379807456,33772.776310056965,240577.46241637765
1993-03-31,160591.47567604174,124588.41035660397,38037.59524804977,35758.4841007333,33734.31198364181,49133.377090494825,31829.95121072483,215015.0958650746
1993-06-30,172561.7627928537,136686.1255651438,36312.81360117465,26590.940726465982,36331.05860651577,45194.99540667153,32526.13020465218,212750.07604407307
1993-09-30,187139.4391826346,148603.2778601233,38807.587054690455,42824.07692233712,35348.50583029319,45057.28975339099,40702.18583100825,224722.32366936695
1993-12-31,199465.27938212416,160791.27452544324,37483.20114726848,54473.4414310746,40425.028507443174,47563.532643096725,42806.9130219514,248181.45752974006
1994-03-31,171969.1743217244,133797.11894817904,40131.972962112435,36492.90055889284,35746.20576352614,54999.6379202456,37966.04048278216,223104.4523686516
1994-06-30,198398.6201340914,159166.20830340058,38530.390004299814,38063.03229702703,41290.610715067814,50896.00945248567,43146.90741433453,236370.99703451776
1994-09-30,195909.74855534834,156277.20168643584,39485.17984453426,51206.554427537354,40518.6049623215,53650.12251809637,46417.329664876954,241871.7594569501
1994-12-31,213094.8142180982,172257.019536522,39300.38181094049,54321.49319835195,37547.55251993419,55688.166186648275,47372.55200538193,265169.10618725163
1995-03-31,173035.83356975717,135061.0593431011,39793.17656719052,37201.99231159861,34295.77071291185,62573.44885067501,40734.566249330455,229899.5118316562
1995-06-30,195317.16008421907,156367.48314321597,38468.79065976856,46268.236864050814,38436.52884127843,50510.43362330017,44296.41226477271,237018.1455548039
1995-09-30,176946.9174792106,138401.47324396658,40070.37361758117,47610.446253101,35395.29405773235,49959.61101017803,39844.10474546989,226825.55636029696
1995-12-31,209420.76569709647,168736.04272209623,39423.580500003,57360.45785280519,39278.71693518349,48224.51977884329,44701.16749380024,258697.62098439006
1996-03-31,182872.80219050363,143457.23482365484,40840.365424221854,31858.479460851624,32728.365093699642,61637.05040836739,40556.47394855835,235238.48712401697
1996-06-30,195317.16008421904,155645.2314889748,39731.577222659274,44976.67688590817,41875.46355805744,52686.18294513262,44506.88498386702,238636.0168555193
1996-09-30,206102.2702587724,163589.9996856278,42934.74313828452,58398.77077641004,43489.657404708814,57423.25741798301,52780.081865189706,250770.05161088466
1996-12-31,229331.73832704115,185438.11222642357,42133.95165937821,51282.528543898676,44308.451384894295,61223.93344852578,50950.588229985275,280862.4578041908
1997-03-31,182872.80219050366,142193.29442873277,42903.9434660189,40646.152253312284,37968.64656688672,73149.2430226201,47259.22054125421,244783.92779823774
1997-06-30,215228.13271416372,173882.08575856464,39916.37525625304,48851.35682033607,47747.386101673306,62545.90772001891,52537.22872777318,260800.85367532
1997-09-30,216768.86273909995,172888.98973398303,43735.53461719083,50624.086202100465,44285.05727117471,63096.73033314106,55030.52093858275,259021.1952445331
1997-12-31,242487.2023861118,197174.70160784278,42811.54444922201,61868.2554235775,48870.3035602134,64556.41025791473,58980.931973891435,291540.4083889123
1998-03-31,199465.27938212425,156277.20168643584,44751.92380195654,44242.260427748624,40471.81673488232,78299.4344553121,53103.886048411725,260962.64080539162
1998-06-30,225302.13672336197,182007.41686877797,41733.55591992506,47737.06978036987,48753.33299161547,64280.99895135366,56341.927880631956,265007.3190571801
1998-09-30,229450.2560212671,183361.6387204802,45706.71364219098,62881.24364172859,48683.150650456715,62490.825458706706,59223.78511130796,273905.61121111474
1998-12-31,258131.5380239255,210897.48303842527,43889.53297851896,71643.59172873547,54765.62021754886,59103.26638800555,61458.03397553992,304321.591664564
1999-03-31,210605.94263935517,166027.5990186918,45675.91396992535,48243.56388944542,40822.7284406761,67200.358800901,52504.84830945099,262095.15071589244
1999-06-30,226368.79597139472,183000.51289335958,41702.75624765942,50472.13796937781,49057.45646997008,54090.78060859409,51857.23994300694,263874.80914667936
1999-09-30,220442.91126010165,175507.15198060733,44936.721835550285,57740.32843461184,44518.998408370564,55798.33070927272,55127.66219354937,258535.83385431863
1999-12-31,243316.82624569288,196723.29432394207,44813.52314648777,47737.06978036988,42647.469310803746,67641.01689139871,57313.34043029802,288304.6657874817
2000-03-31,222102.15897926374,174784.90032636613,48725.08152422244,35986.406449817296,39021.381684268046,73644.98337443004,56973.34603791489,263227.6606263932
2000-06-30,213805.92038345346,171805.61225262127,41055.96313008124,46420.18509677348,39302.11104890306,60204.91161424984,51841.04973384583,254976.5169927448
2000-09-30,210131.87186245175,168374.91689497564,41086.762802346864,43001.34986051357,35769.59987724571,64611.49251922695,51986.76161629574,254005.79421231558
2000-12-31,242013.1316092084,194917.6651883391,45737.51331445659,52244.867351142224,39816.78155073394,61857.37945361625,56147.64537069873,284907.1360559794
2001-03-31,213331.84960655,168736.04272209626,45337.11757500344,30212.373606356115,32026.541682112085,72405.63249490522,51468.6749231405,259021.19524453324
2001-06-30,223524.37130997406,181917.13541199785,39177.18312187798,34846.79470439733,37617.73486109294,54999.63792024562,50562.02321011884,250770.0516108848
2001-09-30,213213.33191232415,170993.07914159997,41610.35723086253,38164.331118842136,32190.300478149184,52465.85389988379,48894.43166652542,242195.33371709325
2001-12-31,219376.25201206893,174152.93012890517,45429.516591800326,58322.796660048734,37594.34074737335,56679.64689026816,50659.16446508544,269699.1458292548
2002-03-31,193539.3946708312,151582.5659338682,43612.33592812831,19398.72437759328,24493.637064405666,54724.226613684565,38338.41529348749,230870.23461208554
2002-06-30,200176.38554747944,161332.96326612416,37698.79885312787,27046.785424633974,29523.371514116476,55908.49523189716,43001.19553188461,236209.20990444632
2002-09-30,162606.27647788145,127838.5428006893,35789.21917265897,26869.512486457534,18879.049771705228,49271.08274377538,31700.42953743602,209676.120572714
2002-12-31,175050.63437159685,137679.22158972544,38437.990987502926,32491.59709719606,21218.461143663742,52162.90146266661,32283.27706723566,232002.74452258632
2003-03-31,170845.6375867342,132370.03715558912,40782.68973651236,20279.39920387963,14861.105047056386,51151.43814870419,33010.49006758114,212928.39356020922
2003-06-30,181213.45070739894,144995.15824641587,35803.57741608778,20023.56066564356,22969.591548995486,56608.276655152265,36351.35958335965,224894.221053974
2003-09-30,182909.5354586075,147238.63514094925,34699.92177294426,31970.161085143565,19276.457021002974,55097.34561882117,41257.95950825971,223862.01128767407
2003-12-31,204124.40263274606,165517.4631546126,36774.72386219423,52510.023083561304,26309.67356325064,58139.43933124676,43150.98601402123,266913.1066486125
2004-03-31,187257.9568768606,146617.0858109601,42164.75133164384,32998.09120627161,22294.590374764655,66980.02975565215,43438.33117923434,242518.9079772363
2004-06-30,204087.4694569329,165756.75464835143,36374.412945705895,27933.15011551618,27394.50716563422,68632.49759501858,46692.56322061566,251902.5615213855
2004-09-30,204680.0579280622,166840.13212971322,35481.2224500027,35403.938224380436,25148.672248554045,71799.72762047088,51938.19098881243,251902.5615213855
2004-12-31,213450.36730077592,173520.95993144414,37760.39819765912,55891.624936486136,33827.88843852014,80833.21847567396,52877.2231201563,292025.7697791271
2005-03-31,201717.11557241567,159617.61558730138,42688.345760159486,30744.192420885443,27534.871847951734,81934.86370191824,52731.511237706385,257726.89820396094
2005-06-30,209582.05274650714,166791.35355644295,42780.84632890735,27821.625033115957,34091.52419328804,79524.68604276181,50332.0992404018,264771.79627490207
2005-09-30,212739.62468551396,169206.88258223224,43586.43131162362,31017.390744251545,32331.681573423626,77401.81018937305,51296.79560066431,269779.94990397495
2005-12-31,205616.44511373847,163258.1303813363,42595.46451511533,52433.04958618312,39087.46295860084,86557.4285341311,53528.27622177885,297663.64050406596
2006-03-31,209742.31342356917,166386.25124811463,43694.655936551,36630.567516505296,33902.55537267889,88063.86263936841,56268.840816243195,277336.1030499043
2006-06-30,221413.3074527595,177205.3649932395,43544.40534284039,27455.127088612124,36996.36405943217,85647.3762676839,56214.13211574709,274406.33799293096
