Indicador,"Agropecuario, pesca y minería",Industrias manufactureras,"Energía eléctrica, gas y agua",Construcción,"Comercio, alojamiento y suministro de comidas y bebidas","Transporte y almacenamiento, información y comunicaciones",Servicios financieros,Actividades profesionales y arrendamiento,Actividades de administración pública,"Salud, educación, act. inmobiliarias y otros servicios",Valor agregado a precios básicos,Impuestos menos subvenciones,Producto bruto interno
Área,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica,Actividad económica
Frecuencia,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC,Q-DEC
Moneda,UYU,UYU,UYU,UYU,UYU,UYU,UYU,UYU,UYU,UYU,UYU,UYU,UYU
Inf. adj.,No,No,No,No,No,No,No,No,No,No,No,No,No
Unidad,Millones,Millones,Millones,Millones,Millones,Millones,Millones,Millones,Millones,Millones,Millones,Millones,Millones
Seas. Adj.,NSA,NSA,NSA,NSA,NSA,NSA,NSA,NSA,NSA,NSA,NSA,NSA,NSA
Tipo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo,Flujo
Acum. períodos,1,1,1,1,1,1,1,1,1,1,1,1,1
2016-03-31,27253.747151874133,48614.71390949098,13126.53785880292,19297.371244401653,56999.211776735436,32788.41999140564,20828.95481520798,29579.933741287216,20899.988062814915,111843.20195763909,381232.08050965995,46152.36417668102,427384.4446863409
2016-06-30,32419.027931914577,46683.1522674773,12554.579745597513,20304.08281895,61041.82319589282,38316.5575583463,21623.458818651936,28528.74979254393,20967.94995785556,101863.56218821602,384302.94427544595,46803.11883546872,431106.06311091466
2016-09-30,22943.383806439528,44460.95854742622,12315.42269869111,21907.80601876582,56340.97603434903,35210.98358173404,21744.73350734155,29255.338653238647,20821.99198582708,104944.186042666,369945.780876479,46712.732228569716,416658.5131050488
2016-12-31,37880.52744141716,49463.31948882739,8906.205742911858,22897.18880739694,56595.466115957555,38947.27699871422,23108.252949972128,31079.61887219962,20824.089592930042,111635.51814834033,401337.46415866725,49919.769336279845,451257.2334949471
2017-03-31,24434.09041983363,43977.523455915485,15181.83930843967,19980.266284581267,61454.51154212491,37486.244939629396,22276.481029270948,32692.109240973637,22408.194066622644,129030.05556988325,408921.31585727487,51313.41444256944,460234.7302998443
2017-06-30,29618.49889139341,43286.42697127934,13615.335358425471,20787.923795277075,60798.47614444353,42904.145016497576,22977.35617879158,33467.39249690969,22219.00706708199,113096.27989832488,402770.8418184245,51379.80397398491,454150.6457924094
2017-09-30,22598.06854936644,46330.681409016186,14366.009207377589,20574.279111777414,59709.06181198823,40009.10604688377,23585.852001870342,33498.06587694159,22181.45737244704,112854.8579676664,395707.439355335,51735.799014750366,447443.2383700853
2017-12-31,26665.023120174777,52102.94822565951,11335.273357260758,22157.640891054947,62981.29348305615,44535.13937293594,25173.51358229016,35245.89805690667,22558.345829491504,122670.0157224997,425425.0916413301,54745.221240738414,480170.3128820685
2018-03-31,25644.57027908809,49292.8326699113,14625.57703727992,20011.38133652209,59253.51151656256,40928.49740267372,23840.45839312128,34202.734294194415,24186.3935029979,141964.5260139605,433950.48244631174,56623.82681511343,490574.3092614251
2018-06-30,30673.68576550237,55586.392179880284,13339.045386943857,20722.725092826375,58729.670699796145,43345.21617155981,24719.74344634721,36498.66961806709,23999.3476630493,122218.47061742854,429832.966641401,56724.12574141732,486557.0923828184
